0 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
1 - [6, 5, 0.0008, 32, 112, 1048576, 64, 2, 4, 4] reward:-0.0
2 - [12, 3, 0.0026000000000000003, 48, 32, 1048576, 64, 4, 0, 4] reward:-0.0
3 - [12, 8, 0.0008, 48, 96, 8388608, 64, 1, 0, 2] reward:-0.0
4 - [12, 1, 0.0009, 32, 96, 131072, 64, 0, 4, 4] reward:-0.0
5 - [11, 3, 0.0017000000000000001, 64, 80, 8388608, 64, 2, 2, 0] reward:-0.0
6 - [6, 4, 0.0011, 80, 112, 4194304, 64, 2, 2, 1] reward:-0.0
7 - [9, 1, 0.0028, 128, 128, 1048576, 64, 1, 2, 4] reward:-0.0
8 - [6, 4, 0.0022, 128, 96, 262144, 64, 0, 1, 2] reward:-0.0
9 - [6, 5, 0.0021000000000000003, 96, 112, 4194304, 64, 0, 2, 1] reward:-0.0
10 - [13, 2, 0.0025, 48, 64, 524288, 64, 0, 1, 2] reward:-0.0
11 - [16, 7, 0.0018000000000000002, 16, 96, 524288, 64, 2, 2, 0] reward:-0.0
12 - [13, 8, 0.0022, 128, 112, 131072, 64, 1, 2, 2] reward:-0.0
13 - [14, 2, 0.0028, 16, 80, 8388608, 64, 4, 4, 0] reward:-0.0
14 - [15, 2, 0.0005, 96, 112, 2097152, 64, 0, 1, 1] reward:-0.0
15 - [14, 6, 0.0027, 128, 32, 2097152, 64, 4, 0, 0] reward:-0.0
16 - [5, 1, 0.0007, 112, 96, 1048576, 64, 0, 4, 0] reward:-0.0
17 - [13, 5, 0.0026000000000000003, 48, 128, 131072, 64, 0, 0, 4] reward:-0.0
18 - [1, 1, 0.0008, 112, 128, 1048576, 64, 0, 0, 0] reward:-36312.197557756415
19 - [9, 7, 0.0015, 48, 48, 524288, 64, 4, 4, 4] reward:-0.0
20 - [8, 3, 0.0018000000000000002, 48, 48, 524288, 64, 2, 0, 4] reward:-0.0
21 - [15, 8, 0.0023, 96, 32, 4194304, 64, 0, 4, 2] reward:-0.0
22 - [6, 4, 0.0013, 112, 16, 131072, 64, 0, 0, 0] reward:-28671.958351989524
23 - [4, 1, 0.0021000000000000003, 48, 128, 2097152, 64, 2, 1, 2] reward:-0.0
24 - [12, 5, 0.0007, 96, 112, 8388608, 64, 4, 2, 2] reward:-0.0
25 - [12, 7, 0.0017000000000000001, 96, 112, 524288, 64, 2, 0, 2] reward:-0.0
26 - [14, 5, 0.0012000000000000001, 96, 64, 131072, 64, 4, 0, 0] reward:-0.0
27 - [1, 1, 0.002, 80, 128, 262144, 64, 0, 0, 0] reward:-61014.43276927684
28 - [16, 7, 0.0006000000000000001, 112, 112, 8388608, 64, 2, 0, 2] reward:-0.0
29 - [7, 7, 0.0027, 112, 16, 2097152, 64, 4, 1, 0] reward:-0.0
30 - [9, 2, 0.0005, 112, 128, 8388608, 64, 1, 4, 1] reward:-0.0
31 - [11, 3, 0.0013, 16, 112, 2097152, 64, 0, 4, 4] reward:-0.0
32 - [9, 1, 0.001, 96, 128, 524288, 64, 4, 0, 4] reward:-0.0
33 - [6, 3, 0.0014000000000000002, 112, 32, 2097152, 64, 0, 0, 2] reward:-0.0
34 - [3, 3, 0.0018000000000000002, 16, 80, 524288, 64, 0, 4, 0] reward:-46325.19767066245
35 - [1, 1, 0.0021000000000000003, 80, 112, 1048576, 64, 0, 0, 0] reward:-52960.58630696179
36 - [2, 2, 0.0021000000000000003, 16, 80, 8388608, 64, 1, 3, 2] reward:-226874.94023819425
37 - [14, 5, 0.0018000000000000002, 80, 32, 1048576, 64, 4, 1, 2] reward:-0.0
38 - [5, 5, 0.0024000000000000002, 96, 96, 524288, 64, 2, 0, 2] reward:-0.0
39 - [3, 2, 0.0006000000000000001, 112, 64, 2097152, 64, 2, 0, 1] reward:-14171.437279489259
